customer_id,frequency,monetary,recency,customer_age_days,avg_order_value
AA-10315,5,16690.68,3313.7639114120975,1186.0,505.77818181818185
AA-10375,9,4225.56,3148.7639114120975,1330.0,70.426
AA-10480,4,5371.536,3388.7639114120975,1077.0,149.20933333333335
AA-10645,6,20347.74,3184.7639114120975,1232.0,282.6075
AB-10015,3,1772.312,3544.7639114120975,996.0,147.69266666666667
AB-10060,8,31022.48,3183.7639114120975,780.0,430.86777777777775
AB-10105,10,57894.284,3170.7639114120975,1065.0,723.67855
AB-10150,5,1933.42,3170.7639114120975,1355.0,80.55916666666667
AB-10165,8,4455.352,3154.7639114120975,1115.0,79.55985714285714
AB-10255,9,3658.1279999999997,3295.7639114120975,1091.0,65.32371428571427
AB-10600,4,4547.586,3179.7639114120975,1088.0,189.48275
AC-10420,3,2777.4,3361.7639114120975,1035.0,185.16
AC-10450,7,22111.384,3140.7639114120975,1145.0,614.205111111111
AC-10615,5,7613.058,3135.7639114120975,831.0,140.98255555555556
AC-10660,5,1971.948,3411.7639114120975,890.0,109.55266666666667
AD-10180,8,18320.64,3158.7639114120975,1108.0,508.90666666666664
AF-10870,7,8211.632,3170.7639114120975,714.0,128.30675
AF-10885,4,1723.1299999999999,3544.7639114120975,915.0,123.08071428571428
AG-10270,5,7748.694,3407.7639114120975,1049.0,184.4927142857143
AG-10300,4,735.096,3247.7639114120975,1226.0,73.5096
AG-10330,5,1982.9160000000002,3137.7639114120975,506.0,73.44133333333333
AG-10390,5,602.835,3243.7639114120975,1237.0,25.118125000000003
AG-10495,8,9427.42,3207.7639114120975,1013.0,112.23119047619048
AG-10525,4,4365.1140000000005,3974.7639114120975,394.0,161.6708888888889
AG-10675,7,6978.0792,3226.7639114120975,871.0,232.60264
AG-10765,4,511.752,3206.7639114120975,1123.0,34.1168
AG-10900,10,18043.188000000002,3225.7639114120975,1160.0,214.79985714285718
AH-10030,7,5234.1,3141.7639114120975,1336.0,158.60909090909092
AH-10075,10,13001.348,3163.7639114120975,1106.0,162.51685
AH-10120,7,5206.542,3189.7639114120975,1201.0,108.46962500000001
AH-10195,4,4762.356,3184.7639114120975,976.0,198.4315
AH-10210,9,19221.376,3135.7639114120975,1121.0,369.64184615384613
AH-10465,5,9981.5664,3359.7639114120975,862.0,311.92395
AH-10585,4,2215.512,3150.7639114120975,1140.0,147.70080000000002
AH-10690,12,31553.176,3539.7639114120975,958.0,342.9693043478261
AI-10855,10,13127.358,3142.7639114120975,1329.0,243.09922222222224
AJ-10780,7,14602.032,3204.7639114120975,1375.0,324.4896
AJ-10795,7,13504.172999999999,3295.7639114120975,1160.0,214.35195238095235
AJ-10945,7,5517.72,3214.7639114120975,1313.0,183.924
AJ-10960,3,1258.4959999999999,3203.7639114120975,1129.0,125.84959999999998
AM-10360,5,2442.036,3157.7639114120975,1153.0,67.83433333333333
AM-10705,8,22656.088,3291.7639114120975,994.0,257.4555454545455
AO-10810,1,161.28,3630.7639114120975,0.0,161.28
AP-10720,8,6554.215999999999,3170.7639114120975,1357.0,86.2396842105263
AP-10915,10,6647.112,3227.7639114120975,1127.0,107.21148387096774
AR-10345,4,2111.388,3240.7639114120975,985.0,211.1388
AR-10405,5,8944.512,3254.7639114120975,1059.0,319.44685714285714
AR-10510,5,794.592,3143.7639114120975,1324.0,37.837714285714284
AR-10540,6,19825.344,3135.7639114120975,1125.0,734.272
AR-10570,1,88.15,3663.7639114120975,0.0,44.075
AR-10825,8,13570.008,3187.7639114120975,1221.0,347.94892307692305
AS-10045,7,12202.768,3217.7639114120975,1164.0,305.0692
AS-10090,9,13021.24,3157.7639114120975,1167.0,130.2124
AS-10135,2,117.64,3170.7639114120975,371.0,19.606666666666666
AS-10225,5,12782.352,3151.7639114120975,1147.0,327.7526153846154
AS-10240,7,1753.824,3321.7639114120975,1194.0,44.969846153846156
AS-10285,6,9642.708,3148.7639114120975,569.0,401.77950000000004
AS-10630,7,3333.592,3221.7639114120975,1155.0,69.44983333333333
AT-10435,6,3515.442,3150.7639114120975,1111.0,130.20155555555556
AT-10735,10,15327.456,3142.7639114120975,1205.0,239.4915
AW-10840,4,1948.128,3149.7639114120975,972.0,81.172
AW-10930,7,8558.904,3175.7639114120975,1219.0,178.31050000000002
AY-10555,4,994.028,3143.7639114120975,1350.0,49.7014
AZ-10750,6,4866.054,3289.7639114120975,1224.0,135.16816666666668
BB-10990,5,2233.02,3234.7639114120975,1147.0,93.0425
BB-11545,9,27062.912,3157.7639114120975,911.0,338.2864
BC-11125,9,8801.028,3331.7639114120975,1071.0,162.982
BD-11320,12,17155.563000000002,3162.7639114120975,911.0,300.97478947368427
BD-11500,6,13233.729,3164.7639114120975,1393.0,441.1243
BD-11560,2,641.08,3407.7639114120975,667.0,80.135
